Date,RF,PNR,HSY,DFS,GE,OXY,PTC,CTVA,CRL,NDAQ,INCY,MLM,CB,GWW,DOW,UNH,REGN,PLD,F,AMZN,TMO,SEE,TYL,NOW,ED,ESS,VTR,SPG,AEP,CTAS,CAG,DRI,IFF,DGX,VTRS,MCK,LH,AMAT,UPS,SWKS,MCD,TECH,HRL,HBAN,TFC,LHX,CPRT,WFC,JCI,ANSS
2017-01-03,14.43,38.91,103.92,72.73,243.7,72.27,46.64,,76.53,66.68,102.32,223.33,131.71,234.45,57.6,161.45,379.7,52.8,12.45,753.67,143.67,46.5,144.77,75.66,73.63,229.25,62.13,182.62,62.76,116.32,39.76,72.06,117.17,92.45,39.11,147.43,129.07,31.94,115.08,75.15,119.62,102.61,35.29,13.32,46.94,102.72,27.86,56.0,42.43,93.35
2017-01-04,14.62,39.05,104.12,73.94,243.77,71.48,46.85,,79.32,67.72,102.84,226.36,131.52,236.33,58.06,161.91,383.11,53.74,13.02,757.18,145.16,47.21,146.61,78.83,73.56,231.03,62.61,184.08,62.85,117.31,39.09,72.09,117.39,93.07,39.63,148.58,130.1,32.24,115.11,74.99,119.48,104.98,35.86,13.48,47.3,103.28,28.23,56.05,42.49,94.44
2017-01-05,14.43,39.0,103.45,72.9,242.39,70.62,47.11,,80.56,67.64,104.81,226.52,130.63,232.26,57.8,162.18,380.92,53.76,12.63,780.45,145.38,47.38,148.02,79.13,73.72,232.76,63.17,184.4,63.19,116.28,38.95,72.33,116.1,92.69,39.16,146.5,129.11,32.1,115.17,74.57,119.7,103.17,36.16,13.26,46.69,103.41,28.2,55.18,41.94,94.71
2017-01-06,14.48,38.95,104.51,72.06,243.08,71.08,48.25,,80.83,68.46,108.31,219.84,131.33,231.5,57.44,162.41,358.68,54.11,12.62,795.99,147.27,47.18,147.79,82.1,73.94,233.74,63.05,186.83,63.14,116.7,38.74,71.55,116.02,92.02,38.5,146.92,129.34,32.04,115.4,74.96,120.76,103.72,36.34,13.29,47.0,104.55,28.34,55.04,42.79,93.95
2017-01-09,14.37,37.99,103.89,71.62,241.93,70.48,48.78,,80.6,67.77,118.53,219.36,130.51,230.35,57.79,161.95,355.06,53.7,12.49,796.92,147.49,47.07,149.32,82.0,72.76,230.73,63.45,185.91,62.31,115.48,38.44,71.56,115.56,92.43,38.95,146.84,130.73,32.78,114.77,75.65,120.43,103.24,35.58,13.32,46.69,102.14,28.27,54.24,42.6,94.29
2017-01-10,14.56,38.23,104.83,72.11,241.24,69.35,49.47,,81.3,67.2,119.3,220.56,130.46,230.72,57.67,161.58,373.0,52.47,12.71,795.9,147.78,47.8,150.11,81.67,72.64,230.1,61.16,184.19,62.12,114.78,38.29,72.25,115.48,93.0,38.95,146.82,132.06,33.13,113.92,77.31,120.25,104.01,34.92,13.33,46.62,101.71,28.36,54.62,43.61,94.19
2017-01-11,14.52,38.59,104.95,71.65,242.0,69.35,49.09,,80.0,67.72,115.29,221.95,130.36,235.95,58.26,161.89,364.47,52.25,12.53,799.02,146.22,48.31,151.91,83.9,73.03,226.87,61.42,181.99,63.18,115.32,38.64,72.89,116.3,93.27,37.28,143.2,134.94,33.47,114.18,78.41,120.88,101.66,35.07,13.44,46.73,101.79,28.66,54.8,44.08,93.7
2017-01-12,14.43,38.46,104.68,71.31,241.39,69.03,49.31,,80.74,67.4,117.55,219.92,129.79,236.19,58.29,162.36,364.44,52.69,12.45,813.64,145.97,48.28,152.13,83.46,73.62,228.43,61.48,183.09,63.29,114.4,38.51,73.81,115.26,93.12,36.77,144.68,134.65,33.31,113.91,76.75,122.1,102.01,35.4,13.32,46.3,101.79,28.42,54.5,43.79,93.89
2017-01-13,14.68,39.43,104.85,71.66,241.16,69.08,49.23,,80.54,67.71,117.75,220.67,130.25,237.02,57.8,161.8,368.16,52.3,12.49,817.14,146.29,48.03,151.35,83.53,73.6,228.0,61.6,184.01,63.23,114.56,38.51,73.37,116.66,92.7,36.73,147.18,134.33,33.79,114.24,78.33,121.5,101.39,35.53,13.47,46.48,101.76,28.7,55.31,43.66,94.03
2017-01-17,13.78,39.28,105.17,69.9,240.47,69.73,47.36,,79.79,66.99,113.64,219.86,130.99,240.68,57.33,160.66,363.24,52.53,12.47,809.72,145.05,48.25,151.21,81.41,74.6,229.58,62.03,185.33,63.81,113.67,38.61,72.88,116.81,92.26,37.07,148.43,133.99,33.3,114.07,76.89,122.75,99.06,36.35,12.95,45.52,100.18,28.27,53.78,43.11,93.5
2017-01-18,14.03,39.45,105.65,70.36,240.16,69.32,47.38,,80.02,67.25,115.09,225.36,131.97,244.61,57.71,157.74,362.95,52.85,12.27,807.48,144.66,48.6,150.98,82.85,74.43,227.9,62.22,186.57,63.46,113.97,38.72,73.16,117.83,92.96,37.19,149.74,134.39,33.69,114.96,79.27,122.71,99.0,36.17,13.15,46.16,100.85,28.33,54.27,43.09,93.57
2017-01-19,13.98,39.57,105.22,70.0,240.01,68.73,50.21,,80.07,67.06,117.53,225.76,131.27,244.17,57.09,158.7,363.41,52.76,12.29,809.04,144.32,48.12,149.15,82.7,73.49,226.67,61.3,182.92,62.7,113.74,38.69,72.59,117.51,91.53,36.95,147.29,132.74,33.75,114.27,78.46,122.18,98.0,36.23,13.01,45.25,99.99,28.26,54.58,42.87,93.49
2017-01-20,14.04,39.49,105.57,70.2,234.78,68.59,49.56,,79.86,67.36,117.22,227.75,131.41,246.47,57.38,158.66,362.56,52.57,12.22,808.33,143.51,48.27,148.82,83.4,73.08,228.54,61.9,184.53,62.91,113.88,39.13,73.44,118.13,91.0,37.07,150.28,132.4,33.84,114.96,88.67,122.26,98.02,36.27,13.12,45.38,100.19,28.48,55.07,42.9,93.3
2017-01-23,13.91,39.49,105.3,69.28,228.78,67.99,50.5,,79.42,67.32,117.42,227.36,131.43,245.83,57.14,159.07,354.36,52.83,12.17,817.88,142.79,48.51,147.33,83.25,72.96,231.11,61.93,185.0,62.71,113.84,38.89,73.0,117.37,91.07,36.03,149.32,132.54,33.75,114.46,90.17,121.38,97.9,36.19,13.06,45.36,100.71,28.19,54.25,43.24,93.51
2017-01-24,14.24,40.45,106.52,69.88,230.7,67.87,52.16,,79.28,67.95,118.3,234.5,131.97,249.09,59.64,160.43,347.96,51.83,12.47,822.44,140.98,49.25,147.48,83.97,72.79,226.71,61.99,184.14,62.78,115.51,39.21,73.67,119.54,91.34,35.81,148.31,133.04,34.03,116.05,92.27,121.05,97.95,36.54,13.25,45.92,102.07,28.69,54.7,43.95,94.48
2017-01-25,14.62,41.3,106.3,69.21,233.55,68.13,53.0,,79.86,68.34,120.91,242.0,133.07,253.11,60.21,161.24,348.93,51.79,12.65,836.52,142.43,49.18,148.17,86.36,72.74,225.85,61.27,182.4,62.53,116.75,39.22,73.57,119.82,91.88,36.48,151.1,135.09,34.42,116.99,91.87,121.79,98.97,36.52,14.02,46.94,101.12,28.8,56.62,44.19,94.95
2017-01-26,14.7,40.85,105.67,69.35,233.16,68.55,52.82,,78.84,68.83,120.64,241.62,133.06,256.34,61.42,162.75,340.75,50.94,12.23,839.15,143.1,49.23,147.63,89.48,73.02,225.38,60.97,182.09,62.64,117.39,38.95,73.55,119.7,92.89,36.1,138.55,133.83,33.98,116.93,91.01,121.88,98.92,36.16,14.01,47.18,101.23,28.54,57.18,44.3,94.85
